,Zipcode,City,State,Latitude,Longitude
305,02301,brockton,ma,42.08343,-71.01838
306,02302,brockton,ma,42.08715,-71.00222
307,02303,brockton,ma,41.970473999999996,-70.701357
308,02304,brockton,ma,41.970473999999996,-70.701357
309,02305,brockton,ma,41.970473999999996,-70.701357
310,01506,brookfield,ma,42.200374,-72.09787
311,02327,bryantville,ma,42.040708,-70.82724499999999
312,01803,burlington,ma,42.50482,-71.19561
313,01805,burlington,ma,42.446396,-71.459405
314,02532,buzzards bay,ma,41.74538,-70.61809
316,02542,buzzards bay,ma,41.74538,-70.61809
318,01922,byfield,ma,42.760870000000004,-70.92648
320,02138,cambridge,ma,42.379146,-71.12803000000001
321,02139,cambridge,ma,42.364346999999995,-71.10431
322,02140,cambridge,ma,42.393327,-71.12836999999999
325,02141,cambridge,ma,42.370519,-71.08443
328,02142,cambridge,ma,42.362297,-71.08412
329,02238,cambridge,ma,42.446396,-71.459405
332,02021,canton,ma,42.166776,-71.1343
333,01741,carlisle,ma,42.52926,-71.3495
334,02330,carver,ma,41.88344,-70.76254
335,02534,cataumet,ma,41.66622,-70.61975
336,02632,centerville,ma,41.658718,-70.34658
337,02634,centerville,ma,41.799312,-70.308662
338,01507,charlton,ma,42.13565,-71.97007
339,01509,charlton depot,ma,42.364807,-71.89686800000001
342,01508,charlton city,ma,42.109747999999996,-72.07945500000001
343,02633,chatham,ma,41.686534,-69.97746
344,01824,chelmsford,ma,42.5911,-71.3556
347,02535,chilmark,ma,41.34317,-70.74475
350,02552,menemsha,ma,41.379836,-70.64309200000001
351,01510,clinton,ma,42.41676,-71.68285
352,02025,cohasset,ma,42.24177,-70.80365
353,01742,concord,ma,42.457201,-71.37478
354,02635,cotuit,ma,41.61678,-70.43697
355,02637,cummaquid,ma,41.70178,-70.27308
356,01923,danvers,ma,42.569756,-70.94322
357,02026,dedham,ma,42.24177,-71.16616
358,02027,dedham,ma,42.180048,-71.08923
359,02638,dennis,ma,41.73539,-70.19391
360,02639,dennis port,ma,41.65844,-70.12863
362,02030,dover,ma,42.24593,-71.28283
363,01826,dracut,ma,42.677772,-71.316
364,01827,dunstable,ma,42.671356,-71.50291999999999
365,02331,duxbury,ma,41.970473999999996,-70.701357
366,02332,duxbury,ma,42.04177,-70.67226
367,02333,east bridgewater,ma,42.03343,-70.95921
370,01515,east brookfield,ma,42.2193,-72.0481
372,02641,east dennis,ma,41.734713,-70.20467
373,01516,douglas,ma,42.05426,-71.73951
375,02536,east falmouth,ma,41.57844,-70.55864
381,02642,eastham,ma,41.844087,-69.98921
382,02334,easton,ma,42.02454,-71.12866
383,02643,east orleans,ma,41.78511,-69.97029
384,01517,east princeton,ma,42.364807,-71.89686800000001
386,02537,east sandwich,ma,41.733837,-70.43754
388,01438,east templeton,ma,42.56314,-72.03702
390,02032,east walpole,ma,42.16204,-71.21061
391,02538,east wareham,ma,41.7682,-70.6532
393,02539,edgartown,ma,41.380479,-70.52453
394,02337,elmwood,ma,42.022225,-70.931588
395,01929,essex,ma,42.63204,-70.78283
396,02540,falmouth,ma,41.56105,-70.61968
397,02541,falmouth,ma,41.799312,-70.308662
398,02543,woods hole,ma,41.5265,-70.67309
400,01521,holland,ma,42.054676,-72.16136999999999
402,01420,fitchburg,ma,42.58342,-71.8023
403,02644,forestdale,ma,41.683462,-70.51210999999999
404,02035,foxboro,ma,42.06538,-71.24783
406,01701,framingham,ma,42.3007,-71.4255
407,01702,framingham,ma,42.27926,-71.41617
408,01703,framingham,ma,42.446396,-71.459405
409,01704,framingham,ma,42.446396,-71.459405
410,01705,framingham,ma,42.446396,-71.459405
411,02038,franklin,ma,42.089104,-71.4069
412,01440,gardner,ma,42.57509,-71.99813
413,01930,gloucester,ma,42.624015,-70.67551999999999
414,01931,gloucester,ma,42.635443,-70.87912299999999
415,01519,grafton,ma,42.20704,-71.68562
416,02041,green harbor,ma,42.07788,-70.64948
417,01450,groton,ma,42.609887,-71.55722
418,01470,groton,ma,42.446396,-71.459405
419,01471,groton,ma,42.446396,-71.459405
420,02338,halifax,ma,41.999851,-70.85395
421,01936,hamilton,ma,42.635443,-70.87912299999999
422,02339,hanover,ma,42.11316,-70.81199
423,02340,hanover,ma,42.11316,-70.81199
424,02341,hanson,ma,42.059434,-70.86205
425,01451,harvard,ma,42.50009,-71.58284
426,02645,harwich,ma,41.68622,-70.07585
429,02646,harwich port,ma,41.66678,-70.07863
430,01937,hathorne,ma,42.635443,-70.87912299999999
431,01830,haverhill,ma,42.78519,-71.07011
432,01831,haverhill,ma,42.771095,-71.122054
433,01832,haverhill,ma,42.781357,-71.11023
434,01833,georgetown,ma,42.72509,-70.99117
436,01834,groveland,ma,42.750690999999996,-71.02486999999999
437,01835,haverhill,ma,42.7762,-71.07728
440,02018,accord,ma,41.970473999999996,-70.701357
442,02043,hingham,ma,42.225708000000004,-70.88764
443,02044,hingham,ma,41.970473999999996,-70.701357
444,02343,holbrook,ma,42.1551,-71.00866
445,01520,holden,ma,42.338962,-71.84434
446,01746,holliston,ma,42.2001,-71.4245
447,01747,hopedale,ma,42.13065,-71.54117
448,01748,hopkinton,ma,42.220447,-71.53418
449,01452,hubbardston,ma,42.4737,-72.00619
450,01749,hudson,ma,42.39176,-71.56618
451,02045,hull,ma,42.286347,-70.87663
452,02047,humarock,ma,42.13621,-70.69004
453,02601,hyannis,ma,41.65289,-70.2828
454,02647,hyannis port,ma,41.63567,-70.29947
455,01938,ipswich,ma,42.67926,-70.84116
456,01522,jefferson,ma,42.36398,-71.88091
457,01523,lancaster,ma,42.45565,-71.67312
458,01840,lawrence,ma,42.70704,-71.16311
459,01841,lawrence,ma,42.70704,-71.16311
460,01842,lawrence,ma,42.635443,-70.87912299999999
461,01843,lawrence,ma,42.691091,-71.16078
462,01844,methuen,ma,42.73004,-71.17935
463,01845,north andover,ma,42.683840999999994,-71.11171
464,01524,leicester,ma,42.238942,-71.91908000000001
465,01453,leominster,ma,42.52509,-71.75979
466,01773,lincoln,ma,42.42593,-71.30395
467,01525,linwood,ma,42.364807,-71.89686800000001
468,01460,littleton,ma,42.540052,-71.49085
469,01850,lowell,ma,42.655791,-71.30504
470,01851,lowell,ma,42.630915,-71.33238
471,01852,lowell,ma,42.634112,-71.29849
472,01853,lowell,ma,42.446396,-71.459405
473,01854,lowell,ma,42.649758,-71.33348000000001
474,01462,lunenburg,ma,42.5884,-71.7266
475,01901,lynn,ma,42.46676,-70.94949
476,01902,lynn,ma,42.46676,-70.94949
477,01903,lynn,ma,42.635443,-70.87912299999999
478,01904,lynn,ma,42.490421000000005,-70.96579
480,01905,lynn,ma,42.464878999999996,-70.97411
482,01906,saugus,ma,42.46482,-71.01005
483,01907,swampscott,ma,42.474409,-70.90588000000001
484,01908,nahant,ma,42.42649,-70.91894
485,01910,lynn,ma,42.454796,-70.974694
486,01940,lynnfield,ma,42.5327,-71.0339
487,01526,manchaug,ma,42.364807,-71.89686800000001
